Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 02/14  23:00:00,23164981.13,74036193.59,21154495.1,6598444.953,3606194.078,6305160.217,0,193614.7706,13013302.76,13013302.76
 02/14  24:00:00,20848483.02,46928555.12,9501203.977,2963586.28,1370171.315,3133089.192,0,95824.40269,9016196.937,9016196.937
 02/15  01:00:00,20269358.49,34890733.54,4717753.269,1471547.069,680348.5344,1437985.578,0,43500.0319,6270240.348,6270240.348
 02/15  02:00:00,19111109.43,29761109.2,2830651.962,882928.2412,408209.1206,956625.0558,0,28525.96151,5543059.427,5543059.427
 02/15  03:00:00,18531984.91,26793207.32,1887101.308,588618.8275,272139.4137,696636.7918,0,20459.98845,4796266.081,4796266.081
 02/15  04:00:00,17952860.38,25589383.47,1887101.308,588618.8275,272139.4137,490797.0629,0,14156.19755,4383710.282,4383710.282
 02/15  05:00:00,18531984.91,26885518.27,2098031.992,654411.6769,301001.6125,355384.7978,0,10061.01316,4934642.27,4934642.27
 02/15  06:00:00,19111109.43,44309592.46,5756753.656,1795628.869,822423.2989,279169.1696,10761972.48,87618.09626,5694917.453,5694917.453
 02/15  07:00:00,21427607.55,68976851.46,13515268.45,4215640.906,1930822.878,596620.8945,18042310.73,224900.4218,9023679.63,9023679.63
 02/15  08:00:00,24323230.19,72380876.54,17103223.81,5334784.892,2443406.578,604365.4988,8793793.318,147517.1139,13630554.72,13630554.72
 02/15  09:00:00,24902354.72,74457392.51,18175923.3,5669378.01,2584077.338,298163.366,6037004.829,99353.52485,16691136.43,16691136.43
 02/15  10:00:00,24902354.72,77537006.92,18683578.11,5827724.136,2644024.494,42256.7759,5296447.818,80408.20047,20060212.67,20060212.67
 02/15  11:00:00,24902354.72,76747960.57,18175584.49,5669272.33,2571451.336,44927.28804,4449955.886,67482.017,20866932.51,20866932.51
 02/15  12:00:00,25481479.25,77204993.1,17471773.1,5449741.649,2470903.194,50406.0548,3989744.123,60775.42394,22230170.31,22230170.31
 02/15  13:00:00,26060603.77,76805203.94,16963779.47,5291289.843,2398330.036,60277.59521,3867677.371,58514.35041,22104731.35,22104731.35
 02/15  14:00:00,26060603.77,73323153.92,16814294.9,5244663.075,2376974.32,66916.93372,2936038.076,45656.15937,19778005.76,19778005.76
 02/15  15:00:00,25481479.25,71914428.99,17017381.44,5308009.202,2391313.391,81282.95616,2169661.238,34883.70217,19430417.82,19430417.82
 02/15  16:00:00,26639728.3,72987320.82,18344809.79,5722056.565,2498728.352,172822.7885,1074376.608,21423.72657,18513374.69,18513374.69
 02/15  17:00:00,27797977.36,84171098.74,22132002.26,6903345.977,2845264.53,244673.6783,1014074.875,22667.80937,23211092.09,23211092.09
 02/15  18:00:00,30114475.47,109468452.5,29283350.55,9133972.506,3622555.945,5540668.4,1674811.449,191189.8911,29907428.13,29907428.13
 02/15  19:00:00,30693600,159255872.1,36634904.16,11427046.47,4687055.576,9144165.339,1424727.88,301317.4676,64943054.58,64943054.58
 02/15  20:00:00,28956226.42,198030984.6,38194225.01,11913425.02,5369331.349,14254777.51,0,436218.6287,98906778.92,98906778.92
 02/15  21:00:00,27218852.83,98727948.98,32465634.81,10126580.81,5085296.064,6666738.757,273274.1628,209138.4778,16682433.07,16682433.07
 02/15  22:00:00,26060603.77,84680406.94,24585954.75,7668775.278,4089467.377,5214294.978,1099622.205,176686.2151,15785002.36,15785002.36
 02/15  23:00:00,23164981.13,72830414.61,21154495.1,6598444.953,3606194.078,3672618.702,1486041.955,134335.9357,13013302.76,13013302.76
 02/15  24:00:00,20848483.02,45643278.38,9501203.977,2963586.28,1370171.315,1886375.557,0,57261.29254,9016196.937,9016196.937
 02/16  01:00:00,20269358.49,34603357.08,4717753.269,1471547.069,680348.5344,1159282.592,0,34826.78013,6270240.348,6270240.348
 02/16  02:00:00,19111109.43,29578331.36,2830651.962,882928.2412,408209.1206,779349.2475,0,23023.92347,5543059.427,5543059.427
 02/16  03:00:00,18531984.91,26640553.48,1887101.308,588618.8275,272139.4137,548553.0106,0,15889.93006,4796266.081,4796266.081
 02/16  04:00:00,17952860.38,25531190.54,1887101.308,588618.8275,272139.4137,434396.8393,0,12363.48819,4383710.282,4383710.282
 02/16  05:00:00,18531984.91,26890208.05,2098031.992,654411.6769,301001.6125,360019.7683,0,10115.82271,4934642.27,4934642.27
 02/16  06:00:00,19111109.43,43042213.08,5756753.656,1795628.869,822423.2989,345656.1905,9432038.64,83685.5391,5694917.453,5694917.453
 02/16  07:00:00,21427607.55,66711438.73,13515268.45,4215640.906,1930822.878,729175.7244,15662567.58,206675.9813,9023679.63,9023679.63
 02/16  08:00:00,24323230.19,71638459.53,17103223.81,5334784.892,2443406.578,828345.723,7835632.902,139280.7186,13630554.72,13630554.72
 02/16  09:00:00,24902354.72,74153640.39,18175923.3,5669378.01,2584077.338,644232.0418,5386564.41,99974.11858,16691136.43,16691136.43
 02/16  10:00:00,24902354.72,77005502.15,18683578.11,5827724.136,2644024.494,85567.29781,4728523.444,73517.24643,20060212.67,20060212.67
 02/16  11:00:00,24902354.72,79178678.04,18175584.49,5669272.33,2571451.336,100775.3779,3587661.899,56620.28918,24114957.55,24114957.55
 02/16  12:00:00,25481479.25,77153736.48,17471773.1,5449741.649,2470903.194,122012.7927,2294783.637,37934.88296,23825107.96,23825107.96
 02/16  13:00:00,26060603.77,74468859.07,16963779.47,5291289.843,2398330.036,147530.1671,1476664.708,25929.71966,22104731.35,22104731.35
 02/16  14:00:00,26060603.77,70793650.61,16814294.9,5244663.075,2376974.32,182608.4871,325500.1408,11000.15379,19778005.76,19778005.76
